Marche;Origine;Heure;Terminus;Heure
Ligne Marseille - Briançon;;;;
880655;Pertuis - BV;06.23;Marseille-St-Charles - BV;07.37
880104;Marseille-St-Charles - BV;06.23;Aix-en-Provence - BV;07.08
880113;Aix-en-Provence - BV;07.22;Marseille-St-Charles - BV;08.07
880108;Marseille-St-Charles - BV;06.53;Aix-en-Provence - BV;07.38
880657;Pertuis - BV;07.23;Marseille-St-Charles - BV;08.37
880110;Marseille-St-Charles - BV;07.11;Aix-en-Provence - BV;07.51
880112;Marseille-St-Charles - BV;07.23;Aix-en-Provence - BV;08.09
880115;Aix-en-Provence - BV;08.23;Marseille-St-Charles - BV;09.07
880116;Marseille-St-Charles - BV;07.53;Aix-en-Provence - BV;08.38
880119;Aix-en-Provence - BV;08.53;Marseille-St-Charles - BV;09.37
880120;Marseille-St-Charles - BV;08.23;Aix-en-Provence - BV;09.09
880122;Marseille-St-Charles - BV;08.53;Aix-en-Provence - BV;09.38
880123;Aix-en-Provence - BV;09.53;Marseille-St-Charles - BV;10.37
880126;Marseille-St-Charles - BV;09.23;Aix-en-Provence - BV;10.08
880131;Aix-en-Provence - BV;11.23;Marseille-St-Charles - BV;12.07
880135;Aix-en-Provence - BV;11.53;Marseille-St-Charles - BV;12.37
880136;Marseille-St-Charles - BV;11.23;Aix-en-Provence - BV;12.08
880138;Marseille-St-Charles - BV;11.53;Aix-en-Provence - BV;12.38
880141;Aix-en-Provence - BV;12.53;Marseille-St-Charles - BV;13.37
880666;Marseille-St-Charles - BV;12.23;Pertuis - BV;13.37
880142;Marseille-St-Charles - BV;12.53;Aix-en-Provence - BV;13.38
880149;Aix-en-Provence - BV;13.53;Marseille-St-Charles - BV;14.37
880152;Marseille-St-Charles - BV;13.53;Aix-en-Provence - BV;14.38
880671;Pertuis - BV;14.23;Marseille-St-Charles - BV;15.37
880154;Marseille-St-Charles - BV;14.53;Aix-en-Provence - BV;15.38
880163;Aix-en-Provence - BV;15.53;Marseille-St-Charles - BV;16.37
880165;Aix-en-Provence - BV;16.22;Marseille-St-Charles - BV;17.07
880158;Marseille-St-Charles - BV;15.53;Aix-en-Provence - BV;16.38
880167;Aix-en-Provence - BV;16.53;Marseille-St-Charles - BV;17.37
880162;Marseille-St-Charles - BV;16.23;Aix-en-Provence - BV;17.08
880169;Aix-en-Provence - BV;17.10;Marseille-St-Charles - BV;17.49
880171;Aix-en-Provence - BV;17.23;Marseille-St-Charles - BV;18.07
880164;Marseille-St-Charles - BV;16.53;Aix-en-Provence - BV;17.38
880173;Aix-en-Provence - BV;17.40;Marseille-St-Charles - BV;18.19
880674;Marseille-St-Charles - BV;17.11;Pertuis - BV;18.20
880175;Aix-en-Provence - BV;17.53;Marseille-St-Charles - BV;18.37
